,Tm,#Bat,BatAge,R/G,G_x,PA,AB,R_x,H_x,2B,3B,HR_x,RBI,SB,CS,BB_x,SO_x,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_x,SH,SF,IBB_x,LOB_x,#Fld,RA/G_x,DefEff,G_y,GS_x,CG_x,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,#P,PAge,RA/G_y,W,L,W-L%,ERA,G,GS_y,GF,CG_y,tSho,cSho,SV,IP,H_y,R_y,ER,HR_y,BB_y,IBB_y,SO_y,HBP_y,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB_y
12,Los Angeles Angels,40,27.4,4.05,65,2405,2179,263,514,92,7,73,245,59,26,182,553,0.236,0.299,0.385,0.684,92,839,41,22,4,16,1,401,40,4.97,0.708,65,585,469,5205,2341,1735,572,34,51,0.985,0,0,4,0,1,22,29.9,4.97,25,40,0.385,4.59,65,65,65,0,3,0,15,578.1,523,323,295,75,246,10,521,31,6,26,2480,91,4.47,1.33,8.1,1.2,3.8,8.1,2.12,431
13,Los Angeles Dodgers,43,30.3,4.94,67,2601,2290,331,586,129,11,86,317,43,10,258,557,0.256,0.335,0.434,0.769,118,995,45,25,3,22,12,499,42,3.57,0.725,67,603,446,5403,2412,1801,581,30,44,0.988,32,7,27,0,0,27,29.7,3.57,41,26,0.612,3.3,67,67,67,0,6,0,19,600.1,484,239,220,70,195,6,589,24,2,25,2452,122,3.79,1.131,7.3,1.0,2.9,8.8,3.02,423
14,Miami Marlins,45,27.9,3.58,65,2371,2188,233,512,85,8,52,226,35,15,139,503,0.234,0.286,0.351,0.637,79,769,57,25,6,12,7,392,45,5.09,0.68,65,585,414,5202,2402,1734,622,46,54,0.981,-27,-6,-21,-3,0,27,26.8,5.09,22,43,0.338,4.66,65,65,64,1,5,1,9,578.0,564,331,299,63,234,9,528,39,3,21,2523,93,4.15,1.381,8.8,1.0,3.6,8.2,2.26,469
15,Milwaukee Brewers,42,26.5,4.94,66,2533,2257,326,578,109,12,70,312,88,14,230,585,0.256,0.33,0.408,0.738,108,921,43,27,5,13,5,466,42,3.98,0.712,66,594,436,5259,2353,1753,570,30,44,0.987,20,5,16,2,-1,27,28.9,3.98,39,27,0.591,3.74,66,66,66,0,3,0,22,584.1,525,263,243,73,206,12,525,30,4,16,2469,113,4.18,1.251,8.1,1.1,3.2,8.1,2.55,460
16,Minnesota Twins,39,29.0,4.35,66,2453,2188,287,504,121,13,70,269,34,9,195,557,0.23,0.303,0.394,0.697,100,861,48,44,3,22,4,425,38,4.36,0.7,66,594,389,5229,2264,1743,495,26,33,0.989,-18,-4,-4,0,2,23,28.5,4.36,35,31,0.53,4.18,66,66,66,0,3,0,21,581.0,535,288,270,80,172,5,592,26,2,16,2438,94,3.92,1.217,8.3,1.2,2.7,9.2,3.44,411
17,New York Mets,44,30.4,4.38,64,2463,2210,280,534,106,6,69,266,46,8,199,513,0.242,0.313,0.389,0.701,106,859,43,34,8,11,5,461,43,4.89,0.695,64,576,428,5187,2320,1729,549,42,54,0.982,-22,-5,-31,-6,2,26,31.3,4.89,28,36,0.438,4.26,64,64,64,0,0,0,15,576.1,512,313,273,61,258,4,558,37,4,23,2483,91,4.12,1.336,8.0,1.0,4.0,8.7,2.16,455
18,New York Yankees,38,28.6,4.93,68,2579,2265,335,577,95,11,98,320,34,12,259,538,0.255,0.334,0.436,0.77,116,988,62,21,7,24,5,461,36,3.26,0.733,68,612,501,5481,2413,1827,550,36,53,0.985,36,8,37,1,2,24,29.5,3.26,47,21,0.691,2.88,68,68,68,0,7,0,25,609.0,465,222,195,64,216,1,585,38,8,15,2497,139,3.84,1.118,6.9,0.9,3.2,8.6,2.71,456
19,Oakland Athletics,47,26.7,3.57,68,2517,2263,243,496,96,9,77,231,34,11,207,663,0.219,0.29,0.372,0.662,94,841,42,24,11,12,8,452,47,4.75,0.691,68,612,418,5445,2461,1815,601,45,67,0.982,-8,-2,-20,0,1,27,29.4,4.75,26,42,0.382,4.22,68,68,68,0,5,0,15,605.0,571,323,284,62,225,17,517,36,5,17,2578,92,4.06,1.316,8.5,0.9,3.3,7.7,2.3,454
20,Philadelphia Phillies,34,29.2,5.11,65,2487,2200,332,560,95,13,75,316,72,16,240,530,0.255,0.331,0.412,0.742,112,906,44,20,5,21,11,450,34,3.45,0.707,65,585,466,5301,2396,1767,592,37,45,0.985,7,2,12,0,-2,18,29.8,3.45,45,20,0.692,2.93,65,65,63,2,7,2,19,589.0,479,224,192,49,184,6,603,20,3,25,2408,137,3.22,1.126,7.3,0.7,2.8,9.2,3.28,430
21,Pittsburgh Pirates,39,28.6,4.14,65,2494,2222,269,514,93,6,60,258,38,6,217,625,0.231,0.302,0.36,0.661,89,799,37,18,12,24,8,481,39,4.49,0.697,65,585,425,5268,2344,1756,549,39,47,0.983,-11,-2,-4,2,-3,21,27.5,4.49,31,34,0.477,3.94,65,65,64,1,4,0,18,585.1,539,292,256,70,208,7,552,32,4,18,2498,105,4.04,1.276,8.3,1.1,3.2,8.5,2.65,466
