Tm,#Bat,#Fld,#P,2B,3B,A,AB,BA,BB9,BB_x,BB_y,BF,BK,BatAge,CG_x,CG_y,CS,Ch,DP,DefEff,E,ER,ERA,ERA+,FIP,Fld%,G,GDP,GF,GS_x,GS_y,G_x,G_y,H9,HBP_x,HBP_y,HR9,HR_x,HR_y,H_x,H_y,IBB_x,IBB_y,IP,Inn,LOB_x,LOB_y,OBP,OPS,OPS+,PA,PAge,PO,R/G,RA/G_y,RBI,R_x,R_y,Rdrs,Rdrs/yr,Rgood,Rtot,Rtot/yr,SB,SF,SH,SLG,SO/W,SO9,SO_x,SO_y,SV,TB,WHIP,WP,cSho,tSho,playoffs
Kansas City Royals,51.0,51.0,30.0,281.0,40.0,1505.0,5496.0,0.247,3.7,456.0,582.0,6307.0,5.0,27.6,1165.0,1.0,39.0,5853.0,152.0,0.678,73.0,824.0,5.2,92.0,4.9,0.988,162.0,113.0,161.0,1458.0,162.0,162.0,162.0,9.6,59.0,81.0,1.4,162.0,221.0,1356.0,1525.0,17.0,25.0,1425.0,12825.0,1056.0,1163.0,0.309,0.71,85.0,6080.0,27.9,4275.0,4.27,5.36,655.0,691.0,869.0,-16.0,-2.0,2.0,-5.0,0.0,117.0,42.0,24.0,0.401,2.11,7.8,1405.0,1230.0,37.0,2203.0,1.479,59.0,1.0,7.0,No
Los Angeles Angels,57.0,56.0,32.0,268.0,21.0,1469.0,5542.0,0.247,3.6,586.0,576.0,6289.0,9.0,28.8,1080.0,0.0,20.0,5889.0,118.0,0.695,92.0,820.0,5.12,91.0,5.04,0.984,162.0,143.0,162.0,1458.0,162.0,162.0,162.0,8.8,67.0,82.0,1.7,220.0,267.0,1368.0,1417.0,29.0,11.0,1442.2,12983.2,1125.0,1093.0,0.324,0.746,96.0,6251.0,27.0,4328.0,4.75,5.36,734.0,769.0,868.0,-23.0,0.0,-2.0,5.0,0.0,65.0,42.0,4.0,0.422,2.44,8.8,1276.0,1404.0,32.0,2338.0,1.381,98.0,0.0,2.0,No
Los Angeles Dodgers,46.0,45.0,26.0,302.0,20.0,1428.0,5493.0,0.257,2.4,607.0,392.0,5913.0,7.0,27.9,977.0,3.0,10.0,5871.0,117.0,0.71,106.0,541.0,3.37,123.0,3.73,0.982,162.0,100.0,159.0,1458.0,162.0,162.0,162.0,7.5,81.0,66.0,1.2,279.0,185.0,1414.0,1201.0,47.0,24.0,1445.2,13011.0,1124.0,963.0,0.338,0.81,111.0,6282.0,28.9,4337.0,5.47,3.78,861.0,886.0,613.0,105.0,0.0,2.0,48.0,4.0,57.0,45.0,55.0,0.472,3.88,9.5,1356.0,1519.0,44.0,2593.0,1.102,40.0,1.0,18.0,Yes
Miami Marlins,50.0,50.0,26.0,265.0,18.0,1364.0,5512.0,0.241,3.8,395.0,615.0,6247.0,6.0,28.4,1058.0,2.0,30.0,5791.0,135.0,0.703,94.0,760.0,4.74,91.0,4.89,0.984,162.0,139.0,160.0,1458.0,162.0,162.0,162.0,8.3,73.0,90.0,1.5,146.0,236.0,1326.0,1340.0,16.0,52.0,1444.1,12999.0,1034.0,1106.0,0.298,0.673,77.0,6045.0,26.5,4333.0,3.8,4.99,593.0,615.0,808.0,10.0,0.0,0.0,-4.0,0.0,55.0,33.0,31.0,0.375,2.24,8.6,1469.0,1378.0,27.0,2065.0,1.354,71.0,2.0,8.0,No
Milwaukee Brewers,50.0,49.0,30.0,279.0,17.0,1395.0,5542.0,0.246,3.5,629.0,570.0,6251.0,3.0,28.9,1013.0,0.0,25.0,5870.0,135.0,0.691,97.0,713.0,4.4,102.0,4.46,0.983,162.0,120.0,162.0,1458.0,162.0,162.0,162.0,8.4,72.0,60.0,1.4,250.0,225.0,1366.0,1364.0,42.0,28.0,1459.1,13134.0,1180.0,1107.0,0.329,0.767,97.0,6309.0,28.7,4378.0,4.75,4.73,744.0,769.0,766.0,27.0,-1.0,3.0,7.0,1.0,101.0,38.0,20.0,0.438,2.63,9.2,1563.0,1497.0,50.0,2429.0,1.325,41.0,0.0,7.0,Yes
Minnesota Twins,50.0,49.0,31.0,318.0,23.0,1405.0,5732.0,0.27,2.8,525.0,452.0,6246.0,5.0,27.8,1105.0,1.0,21.0,5906.0,130.0,0.673,111.0,680.0,4.18,109.0,4.02,0.981,162.0,101.0,161.0,1458.0,162.0,162.0,162.0,9.0,81.0,61.0,1.2,307.0,198.0,1547.0,1456.0,21.0,10.0,1463.1,13170.0,1115.0,1102.0,0.338,0.832,118.0,6392.0,28.2,4390.0,5.8,4.65,906.0,939.0,754.0,-28.0,-1.0,-2.0,-22.0,-2.0,28.0,41.0,10.0,0.494,3.24,9.0,1334.0,1463.0,50.0,2832.0,1.304,71.0,0.0,10.0,Yes
New York Mets,53.0,52.0,30.0,280.0,17.0,1435.0,5624.0,0.257,3.1,516.0,500.0,6232.0,2.0,27.9,933.0,3.0,27.0,5917.0,129.0,0.679,99.0,688.0,4.24,97.0,4.1,0.983,162.0,129.0,159.0,1458.0,162.0,162.0,162.0,8.7,95.0,60.0,1.3,242.0,204.0,1445.0,1405.0,34.0,40.0,1461.0,13149.0,1128.0,1112.0,0.328,0.77,105.0,6290.0,28.6,4383.0,4.88,4.55,767.0,791.0,737.0,-34.0,-3.0,-4.0,-44.0,-4.0,56.0,27.0,28.0,0.442,3.04,9.4,1384.0,1520.0,38.0,2485.0,1.304,47.0,3.0,12.0,No
New York Yankees,54.0,54.0,33.0,290.0,17.0,1347.0,5583.0,0.267,3.2,569.0,507.0,6133.0,5.0,28.3,1132.0,1.0,22.0,5778.0,135.0,0.686,102.0,691.0,4.31,104.0,4.47,0.982,162.0,113.0,161.0,1458.0,162.0,162.0,162.0,8.6,49.0,44.0,1.5,306.0,248.0,1493.0,1374.0,18.0,12.0,1443.0,12987.0,1039.0,1065.0,0.339,0.829,118.0,6245.0,30.2,4329.0,5.82,4.56,904.0,943.0,739.0,-14.0,-1.0,-3.0,7.0,1.0,55.0,33.0,10.0,0.49,3.03,9.6,1437.0,1534.0,50.0,2735.0,1.304,55.0,1.0,9.0,Yes
Oakland Athletics,49.0,49.0,28.0,292.0,23.0,1464.0,5561.0,0.249,2.9,578.0,477.0,6153.0,4.0,27.8,1124.0,1.0,21.0,5939.0,122.0,0.71,80.0,646.0,3.97,109.0,4.34,0.987,162.0,140.0,161.0,1458.0,162.0,162.0,162.0,8.2,87.0,66.0,1.2,257.0,201.0,1384.0,1342.0,17.0,19.0,1465.0,13185.0,1081.0,1078.0,0.327,0.776,108.0,6269.0,30.8,4395.0,5.22,4.2,800.0,845.0,680.0,3.0,0.0,-13.0,41.0,4.0,49.0,36.0,7.0,0.448,2.72,8.0,1338.0,1299.0,45.0,2493.0,1.242,74.0,1.0,12.0,Yes
Philadelphia Phillies,56.0,53.0,34.0,311.0,26.0,1552.0,5571.0,0.246,3.4,562.0,546.0,6274.0,7.0,27.7,1122.0,3.0,18.0,6010.0,136.0,0.687,97.0,731.0,4.53,99.0,4.88,0.984,162.0,97.0,159.0,1458.0,162.0,162.0,162.0,9.0,57.0,71.0,1.6,215.0,258.0,1369.0,1452.0,47.0,38.0,1453.2,13083.0,1129.0,1119.0,0.319,0.746,92.0,6261.0,28.4,4361.0,4.78,4.9,742.0,774.0,794.0,68.0,0.0,0.0,16.0,1.0,78.0,34.0,34.0,0.427,2.55,8.6,1453.0,1392.0,36.0,2377.0,1.374,45.0,1.0,7.0,No
Pittsburgh Pirates,54.0,54.0,34.0,315.0,38.0,1493.0,5657.0,0.265,3.7,425.0,584.0,6391.0,4.0,27.5,1068.0,1.0,29.0,5934.0,130.0,0.666,121.0,829.0,5.18,84.0,4.78,0.98,162.0,119.0,161.0,1458.0,162.0,162.0,162.0,9.4,63.0,85.0,1.5,163.0,241.0,1497.0,1511.0,41.0,22.0,1440.0,12960.0,1103.0,1160.0,0.321,0.741,94.0,6228.0,27.2,4320.0,4.68,5.62,722.0,758.0,911.0,-21.0,0.0,2.0,-70.0,-7.0,64.0,34.0,47.0,0.42,2.47,9.0,1213.0,1443.0,31.0,2377.0,1.455,50.0,0.0,6.0,No
San Diego Padres,54.0,54.0,34.0,224.0,24.0,1386.0,5391.0,0.238,2.9,504.0,463.0,6160.0,6.0,26.2,1041.0,0.0,37.0,5798.0,100.0,0.68,116.0,732.0,4.6,91.0,4.22,0.98,162.0,120.0,162.0,1458.0,162.0,162.0,162.0,8.8,55.0,68.0,1.4,219.0,215.0,1281.0,1394.0,19.0,19.0,1432.0,12888.0,1008.0,1075.0,0.308,0.718,90.0,6019.0,26.3,4296.0,4.21,4.87,652.0,682.0,789.0,4.0,-1.0,-2.0,-42.0,-4.0,70.0,31.0,37.0,0.41,3.19,9.3,1581.0,1475.0,47.0,2210.0,1.297,60.0,0.0,6.0,No
Seattle Mariners,67.0,67.0,42.0,254.0,28.0,1490.0,5500.0,0.237,3.2,588.0,505.0,6268.0,4.0,27.8,1123.0,3.0,47.0,5940.0,145.0,0.688,132.0,798.0,4.99,88.0,5.0,0.978,162.0,83.0,159.0,1458.0,162.0,162.0,162.0,9.3,58.0,51.0,1.6,239.0,260.0,1305.0,1484.0,7.0,25.0,1439.1,12954.0,1080.0,1057.0,0.316,0.74,99.0,6199.0,28.6,4318.0,4.68,5.51,730.0,758.0,893.0,-48.0,-1.0,-6.0,-9.0,-1.0,115.0,37.0,14.0,0.424,2.45,7.7,1581.0,1239.0,34.0,2332.0,1.382,75.0,2.0,4.0,No
San Francisco Giants,64.0,63.0,35.0,300.0,26.0,1536.0,5579.0,0.239,3.2,475.0,519.0,6256.0,4.0,29.9,1079.0,1.0,28.0,6033.0,142.0,0.699,90.0,715.0,4.38,96.0,4.55,0.985,162.0,111.0,161.0,1458.0,162.0,162.0,162.0,8.5,50.0,65.0,1.4,167.0,227.0,1332.0,1395.0,26.0,26.0,1469.0,13221.0,1069.0,1076.0,0.302,0.694,83.0,6170.0,28.9,4407.0,4.19,4.77,655.0,678.0,773.0,19.0,0.0,0.0,14.0,1.0,47.0,42.0,24.0,0.392,2.64,8.4,1435.0,1368.0,41.0,2185.0,1.303,53.0,0.0,8.0,No
St. Louis Cardinals,43.0,42.0,23.0,246.0,24.0,1578.0,5449.0,0.245,3.4,561.0,545.0,6068.0,4.0,28.8,1051.0,1.0,29.0,5976.0,168.0,0.706,66.0,609.0,3.8,110.0,4.27,0.989,162.0,110.0,161.0,1458.0,162.0,162.0,162.0,8.0,76.0,69.0,1.2,210.0,191.0,1336.0,1284.0,15.0,41.0,1444.0,12996.0,1107.0,1074.0,0.322,0.737,94.0,6167.0,27.8,4332.0,4.72,4.09,714.0,764.0,662.0,73.0,1.0,3.0,37.0,3.0,116.0,39.0,40.0,0.415,2.57,8.7,1420.0,1399.0,52.0,2260.0,1.267,46.0,1.0,14.0,Yes
Tampa Bay Rays,57.0,57.0,33.0,291.0,29.0,1414.0,5628.0,0.254,2.8,542.0,453.0,6086.0,7.0,27.2,1076.0,0.0,37.0,5924.0,126.0,0.695,87.0,598.0,3.65,120.0,3.65,0.985,162.0,114.0,162.0,1458.0,162.0,162.0,162.0,7.8,73.0,60.0,1.1,217.0,181.0,1427.0,1274.0,20.0,27.0,1474.1,13269.0,1130.0,1007.0,0.325,0.757,102.0,6285.0,27.8,4423.0,4.75,4.05,730.0,769.0,656.0,42.0,0.0,6.0,28.0,3.0,94.0,34.0,8.0,0.431,3.58,9.9,1493.0,1621.0,46.0,2427.0,1.171,59.0,0.0,12.0,Yes
Texas Rangers,53.0,53.0,36.0,296.0,24.0,1364.0,5540.0,0.248,3.6,534.0,583.0,6354.0,3.0,28.8,1170.0,4.0,38.0,5783.0,143.0,0.671,105.0,808.0,5.06,102.0,4.84,0.982,162.0,98.0,158.0,1458.0,162.0,162.0,162.0,9.5,67.0,70.0,1.5,223.0,241.0,1374.0,1515.0,18.0,11.0,1438.0,12942.0,1066.0,1162.0,0.319,0.75,88.0,6204.0,28.3,4314.0,5.0,5.42,765.0,810.0,878.0,-65.0,-1.0,-7.0,-34.0,-3.0,131.0,44.0,17.0,0.431,2.37,8.6,1578.0,1379.0,33.0,2387.0,1.459,68.0,1.0,9.0,No
Toronto Blue Jays,61.0,61.0,39.0,270.0,21.0,1503.0,5493.0,0.236,3.8,509.0,604.0,6313.0,6.0,25.9,1153.0,1.0,20.0,5920.0,141.0,0.685,96.0,767.0,4.79,95.0,4.82,0.984,162.0,107.0,161.0,1458.0,162.0,162.0,162.0,9.1,45.0,69.0,1.4,247.0,228.0,1299.0,1450.0,10.0,25.0,1440.1,12963.0,1003.0,1164.0,0.305,0.733,94.0,6091.0,28.0,4321.0,4.48,5.11,697.0,726.0,828.0,40.0,1.0,0.0,-8.0,-1.0,51.0,28.0,14.0,0.428,2.21,8.3,1514.0,1332.0,33.0,2352.0,1.426,70.0,0.0,7.0,No
Washington Nationals,50.0,50.0,31.0,298.0,27.0,1374.0,5512.0,0.265,3.2,584.0,517.0,6134.0,5.0,28.8,1171.0,1.0,29.0,5779.0,111.0,0.689,87.0,683.0,4.27,106.0,4.14,0.985,162.0,117.0,161.0,1458.0,162.0,162.0,162.0,8.4,81.0,61.0,1.3,231.0,202.0,1460.0,1340.0,33.0,41.0,1439.1,12954.0,1114.0,1092.0,0.342,0.796,104.0,6267.0,30.8,4318.0,5.39,4.47,824.0,873.0,724.0,25.0,0.0,1.0,6.0,1.0,116.0,42.0,48.0,0.454,2.92,9.4,1308.0,1511.0,40.0,2505.0,1.29,53.0,1.0,13.0,Yes
